"category","date","percent","downloads","package"
"without_mirrors","2021-09-25","0.04%","8","aequitas"
"without_mirrors","2021-09-25","0.73%","17","fairml"
"without_mirrors","2021-09-25","0.10%","13","fairness-indicators"
"without_mirrors","2021-09-25","0.04%","15","BlackBoxAuditing"
"without_mirrors","2021-09-25","0.08%","41","aif360"
"without_mirrors","2021-09-25","0.11%","261","fairlearn"
"without_mirrors","2021-09-26","0.14%","70","aif360"
"without_mirrors","2021-09-26","0.10%","237","fairlearn"
"without_mirrors","2021-09-26","0.03%","5","ethicml"
"without_mirrors","2021-09-26","0.12%","15","fairness-indicators"
"without_mirrors","2021-09-26","0.08%","15","aequitas"
"without_mirrors","2021-09-26","0.03%","14","BlackBoxAuditing"
"without_mirrors","2021-09-26","0.03%","2","fairness"
"without_mirrors","2021-09-27","0.24%","31","fairness-indicators"
"without_mirrors","2021-09-27","0.53%","269","aif360"
"without_mirrors","2021-09-27","0.21%","33","ethicml"
"without_mirrors","2021-09-27","0.20%","35","aequitas"
"without_mirrors","2021-09-27","0.11%","1","themis-ml"
"without_mirrors","2021-09-27","0.45%","1080","fairlearn"
"without_mirrors","2021-09-27","0.06%","24","BlackBoxAuditing"
"without_mirrors","2021-09-28","0.64%","326","aif360"
"without_mirrors","2021-09-28","0.47%","1130","fairlearn"
"without_mirrors","2021-09-28","0.15%","62","BlackBoxAuditing"
"without_mirrors","2021-09-28","0.06%","9","ethicml"
"without_mirrors","2021-09-28","0.19%","24","fairness-indicators"
"without_mirrors","2021-09-28","0.34%","8","fairml"
"without_mirrors","2021-09-28","0.06%","1","transparentai"
"without_mirrors","2021-09-28","0.17%","31","aequitas"
"without_mirrors","2021-09-29","0.08%","35","BlackBoxAuditing"
"without_mirrors","2021-09-29","0.63%","1493","fairlearn"
"without_mirrors","2021-09-29","0.03%","2","fairness"
"without_mirrors","2021-09-29","0.62%","315","aif360"
"without_mirrors","2021-09-29","0.20%","26","fairness-indicators"
"without_mirrors","2021-09-29","0.08%","12","ethicml"
"without_mirrors","2021-09-29","0.15%","27","aequitas"
"without_mirrors","2021-09-30","0.27%","34","fairness-indicators"
"without_mirrors","2021-09-30","0.05%","8","ethicml"
"without_mirrors","2021-09-30","0.40%","206","aif360"
"without_mirrors","2021-09-30","0.10%","43","BlackBoxAuditing"
"without_mirrors","2021-09-30","0.01%","1","fairness"
"without_mirrors","2021-09-30","0.53%","1264","fairlearn"
"without_mirrors","2021-09-30","0.10%","17","aequitas"
"without_mirrors","2021-09-30","0.30%","7","fairml"
"without_mirrors","2021-10-01","0.04%","1","fairml"
"without_mirrors","2021-10-01","0.01%","1","fairness"
"without_mirrors","2021-10-01","0.14%","18","fairness-indicators"
"without_mirrors","2021-10-01","0.52%","263","aif360"
"without_mirrors","2021-10-01","0.04%","7","ethicml"
"without_mirrors","2021-10-01","0.46%","82","aequitas"
"without_mirrors","2021-10-01","0.13%","55","BlackBoxAuditing"
"without_mirrors","2021-10-01","0.52%","1226","fairlearn"
"without_mirrors","2021-10-02","0.07%","35","aif360"
"without_mirrors","2021-10-02","0.21%","27","fairness-indicators"
"without_mirrors","2021-10-02","0.01%","2","ethicml"
"without_mirrors","2021-10-02","0.03%","12","BlackBoxAuditing"
"without_mirrors","2021-10-02","0.02%","4","aequitas"
"without_mirrors","2021-10-02","0.14%","329","fairlearn"
"without_mirrors","2021-10-03","0.07%","12","aequitas"
"without_mirrors","2021-10-03","0.12%","15","fairness-indicators"
"without_mirrors","2021-10-03","0.02%","3","ethicml"
"without_mirrors","2021-10-03","0.11%","253","fairlearn"
"without_mirrors","2021-10-03","0.73%","17","fairml"
"without_mirrors","2021-10-03","0.18%","90","aif360"
"without_mirrors","2021-10-03","0.03%","14","BlackBoxAuditing"
"without_mirrors","2021-10-04","0.12%","21","aequitas"
"without_mirrors","2021-10-04","0.07%","27","BlackBoxAuditing"
"without_mirrors","2021-10-04","1.03%","24","fairml"
"without_mirrors","2021-10-04","0.03%","2","fairness"
"without_mirrors","2021-10-04","0.27%","35","fairness-indicators"
"without_mirrors","2021-10-04","0.36%","856","fairlearn"
"without_mirrors","2021-10-04","0.32%","3","themis-ml"
"without_mirrors","2021-10-04","0.60%","308","aif360"
"without_mirrors","2021-10-04","0.01%","2","ethicml"
"without_mirrors","2021-10-05","0.20%","35","aequitas"
"without_mirrors","2021-10-05","0.56%","283","aif360"
"without_mirrors","2021-10-05","0.01%","1","fairness"
"without_mirrors","2021-10-05","0.71%","1679","fairlearn"
"without_mirrors","2021-10-05","0.09%","39","BlackBoxAuditing"
"without_mirrors","2021-10-05","0.20%","25","fairness-indicators"
"without_mirrors","2021-10-05","0.01%","2","ethicml"
"without_mirrors","2021-10-06","0.10%","41","BlackBoxAuditing"
"without_mirrors","2021-10-06","0.11%","14","fairness-indicators"
"without_mirrors","2021-10-06","0.81%","1933","fairlearn"
"without_mirrors","2021-10-06","0.01%","1","ethicml"
"without_mirrors","2021-10-06","0.69%","351","aif360"
"without_mirrors","2021-10-06","0.11%","1","themis-ml"
"without_mirrors","2021-10-06","0.17%","31","aequitas"
"without_mirrors","2021-10-06","0.73%","17","fairml"
"without_mirrors","2021-10-07","0.56%","1324","fairlearn"
"without_mirrors","2021-10-07","0.06%","1","transparentai"
"without_mirrors","2021-10-07","0.17%","31","aequitas"
"without_mirrors","2021-10-07","0.39%","9","fairml"
"without_mirrors","2021-10-07","0.59%","302","aif360"
"without_mirrors","2021-10-07","0.11%","1","themis-ml"
"without_mirrors","2021-10-07","0.09%","12","fairness-indicators"
"without_mirrors","2021-10-07","0.12%","19","ethicml"
"without_mirrors","2021-10-07","0.03%","2","fairness"
"without_mirrors","2021-10-07","0.23%","96","BlackBoxAuditing"
"without_mirrors","2021-10-08","0.15%","62","BlackBoxAuditing"
"without_mirrors","2021-10-08","0.39%","9","fairml"
"without_mirrors","2021-10-08","0.01%","1","ethicml"
"without_mirrors","2021-10-08","0.47%","1118","fairlearn"
"without_mirrors","2021-10-08","1.01%","515","aif360"
"without_mirrors","2021-10-08","0.20%","25","fairness-indicators"
"without_mirrors","2021-10-08","0.11%","20","aequitas"
"without_mirrors","2021-10-09","0.11%","1","themis-ml"
"without_mirrors","2021-10-09","0.07%","9","fairness-indicators"
"without_mirrors","2021-10-09","0.04%","16","BlackBoxAuditing"
"without_mirrors","2021-10-09","0.11%","58","aif360"
"without_mirrors","2021-10-09","0.04%","1","fairml"
"without_mirrors","2021-10-09","0.31%","726","fairlearn"
"without_mirrors","2021-10-09","0.06%","10","aequitas"
"without_mirrors","2021-10-09","0.06%","1","transparentai"
"without_mirrors","2021-10-10","0.01%","1","fairness"
"without_mirrors","2021-10-10","0.19%","462","fairlearn"
