"library","name","module_type","type","sub_type","approach_name"
"aif360","difference","metric","utility","NA","NA"
"aif360","num_instances","metric","utility","NA","NA"
"aif360","ratio","metric","utility","NA","NA"
"aif360","base_rate","metric","utility","NA","NA"
"aif360","consistency","metric","individual","NA","NA"
"aif360","disparate_impact","metric","group","independence","NA"
"aif360","mean_difference","metric","utility","NA","NA"
"aif360","num_negatives","metric","utility","NA","NA"
"aif360","num_positives","metric","utility","NA","NA"
"aif360","rich_subgroup","metric","subgroup","NA","NA"
"aif360","smoothed_empirical_differential_fairness","metric","subgroup","NA","NA"
"aif360","statistical_parity_difference","metric","group","independence","NA"
"aif360","average","metric","utility","NA","NA"
"aif360","average_euclidean_distance","metric","individual","NA","NA"
"aif360","average_mahalanobis_distance","metric","individual","NA","NA"
"aif360","average_manhattan_distance","metric","individual","NA","NA"
"aif360","euclidean_distance","metric","individual","NA","NA"
"aif360","mahalanobis_distance","metric","individual","NA","NA"
"aif360","manhattan_distance","metric","individual","NA","NA"
"aif360","maximum","metric","utility","NA","NA"
"aif360","maximum_euclidean_distance","metric","individual","NA","NA"
"aif360","maximum_mahalanobis_distance","metric","individual","NA","NA"
"aif360","maximum_manhattan_distance","metric","individual","NA","NA"
"aif360","mean_euclidean_distance_difference","metric","individual","NA","NA"
"aif360","mean_euclidean_distance_ratio","metric","individual","NA","NA"
"aif360","mean_mahalanobis_distance_difference","metric","individual","NA","NA"
"aif360","mean_mahalanobis_distance_ratio","metric","individual","NA","NA"
"aif360","mean_manhattan_distance_difference","metric","individual","NA","NA"
"aif360","mean_manhattan_distance_ratio","metric","individual","NA","NA"
"aif360","total","metric","utility","NA","NA"
"aif360","total_euclidean_distance","metric","individual","NA","NA"
"aif360","total_mahalanobis_distance","metric","individual","NA","NA"
"aif360","total_manhattan_distance","metric","individual","NA","NA"
"aif360","accuracy","metric","utility","NA","NA"
"aif360","average_abs_odds_difference","metric","group","separation","NA"
"aif360","average_odds_difference","metric","group","separation","NA"
"aif360","between_all_groups_coefficient_of_variation","metric","group_individual","NA","NA"
"aif360","between_all_groups_generalized_entropy_index","metric","group_individual","NA","NA"
"aif360","between_all_groups_theil_index","metric","group_individual","NA","NA"
"aif360","between_group_coefficient_of_variation","metric","group_individual","NA","NA"
"aif360","between_group_generalized_entropy_index","metric","group_individual","NA","NA"
"aif360","between_group_theil_index","metric","group_individual","NA","NA"
"aif360","binary_confusion_matrix","metric","utility","NA","NA"
"aif360","coefficient_of_variation","metric","group_individual","NA","NA"
"aif360","differential_fairness_bias_amplification","metric","subgroup","NA","NA"
"aif360","equal_opportunity_difference","metric","group","separation","NA"
"aif360","error_rate","metric","group","separation","NA"
"aif360","error_rate_difference","metric","group","separation","NA"
"aif360","error_rate_ratio","metric","group","separation","NA"
"aif360","false_discovery_rate","metric","group","separation","NA"
"aif360","false_discovery_rate_difference","metric","group","separation","NA"
"aif360","false_discovery_rate_ratio","metric","group","separation","NA"
