"repo_url","commit_id","commit_time","library","type","sub_type","module_name"
"https://github.com/KrishnaRJ422/German-Credit-Status","e86da301abea899f4a8198355feaaa7966835def","2021-05-18 04:32:28+00:00","aif360","pre","Data transformation","disparateimpactremover"
"https://github.com/RossyNguyen/BIT---Healthcare-Bias-Dection-tool","a8cb9690f3b7117d1b20fae11c6522aacd1447fc","2020-09-03 14:11:08+00:00","aif360","pre","Resampling","reweighing"
"https://github.com/julian-zucker/arbiter","14ff495063ef8740032576e5839400ddb4e94758","2019-12-18 02:04:20+00:00","aif360","in","Multi objective optimization","adversarialdebiasing"
"https://github.com/julian-zucker/arbiter","63f42992649d8b43f2cae09c922288db06778066","2020-02-12 22:23:35+00:00","aif360","in","Multi objective optimization","adversarialdebiasing"
"https://github.com/danladishitu/CE888-7-SP","ea6793256970d78c7b1fb0fd2b0fed484d2d64b6","2021-05-05 19:56:19+00:00","aif360","in","Regularization","prejudiceremover"
"https://github.com/danladishitu/CE888-7-SP","ea6793256970d78c7b1fb0fd2b0fed484d2d64b6","2021-05-05 19:56:19+00:00","aif360","pre","Resampling","reweighing"
"https://github.com/CinnyLin/bias-ai","f94dbe28caad752022bbc147dc26581b75b59257","2021-08-16 14:00:00+00:00","aif360","in","Multi objective optimization","adversarialdebiasing"
"https://github.com/CinnyLin/bias-ai","f94dbe28caad752022bbc147dc26581b75b59257","2021-08-16 14:00:00+00:00","aif360","post","Probabilistic label change","calibratedeqoddspostprocessing"
"https://github.com/CinnyLin/bias-ai","f94dbe28caad752022bbc147dc26581b75b59257","2021-08-16 14:00:00+00:00","aif360","pre","Resampling","reweighing"
"https://github.com/JohannesJacob/Fairness_CreditScoring","14adaedc3c1c416469545319ae7cfd3b69fce249","2020-06-22 10:37:29+00:00","aif360","pre","Data transformation","disparateimpactremover"
"https://github.com/JohannesJacob/Fairness_CreditScoring","14adaedc3c1c416469545319ae7cfd3b69fce249","2020-06-22 10:37:29+00:00","aif360","pre","Data transformation","lfr"
"https://github.com/JohannesJacob/Fairness_CreditScoring","14adaedc3c1c416469545319ae7cfd3b69fce249","2020-06-22 10:37:29+00:00","aif360","pre","Resampling","reweighing"
"https://github.com/JohannesJacob/Fairness_CreditScoring","14adaedc3c1c416469545319ae7cfd3b69fce249","2020-06-22 10:37:29+00:00","aif360","in","Multi objective optimization","adversarialdebiasing"
"https://github.com/JohannesJacob/Fairness_CreditScoring","14adaedc3c1c416469545319ae7cfd3b69fce249","2020-06-22 10:37:29+00:00","aif360","in","Regularization","prejudiceremover"
"https://github.com/JohannesJacob/Fairness_CreditScoring","14adaedc3c1c416469545319ae7cfd3b69fce249","2020-06-22 10:37:29+00:00","aif360","in","Fairness constraints","metafairclassifier"
"https://github.com/JohannesJacob/Fairness_CreditScoring","14adaedc3c1c416469545319ae7cfd3b69fce249","2020-06-22 10:37:29+00:00","aif360","post","Probabilistic label change","rejectoptionclassification"
"https://github.com/manishpandit/recidivism","c2ec0419f6718c5afa6f6cd66b3eb37b93acbf22","2019-06-11 02:12:06+00:00","aif360","pre","Resampling","reweighing"
"https://github.com/manishpandit/recidivism","c2ec0419f6718c5afa6f6cd66b3eb37b93acbf22","2019-06-11 02:12:06+00:00","aif360","in","Regularization","prejudiceremover"
"https://github.com/IBM/lale","a27a31027d5be92def30bc970e635d96b5945f49","2020-12-29 21:17:09+00:00","aif360","in","Multi objective optimization","adversarialdebiasing"
"https://github.com/IBM/lale","a27a31027d5be92def30bc970e635d96b5945f49","2020-12-29 21:17:09+00:00","aif360","post","Probabilistic label change","calibratedeqoddspostprocessing"
"https://github.com/IBM/lale","a27a31027d5be92def30bc970e635d96b5945f49","2020-12-29 21:17:09+00:00","aif360","pre","Data transformation","disparateimpactremover"
"https://github.com/IBM/lale","a27a31027d5be92def30bc970e635d96b5945f49","2020-12-29 21:17:09+00:00","aif360","post","Probabilistic label change","eqoddspostprocessing"
"https://github.com/IBM/lale","a27a31027d5be92def30bc970e635d96b5945f49","2020-12-29 21:17:09+00:00","aif360","in","Fairness constraints","gerryfairclassifier"
"https://github.com/IBM/lale","a27a31027d5be92def30bc970e635d96b5945f49","2020-12-29 21:17:09+00:00","aif360","pre","Data transformation","lfr"
"https://github.com/IBM/lale","a27a31027d5be92def30bc970e635d96b5945f49","2020-12-29 21:17:09+00:00","aif360","in","Fairness constraints","metafairclassifier"
"https://github.com/IBM/lale","a27a31027d5be92def30bc970e635d96b5945f49","2020-12-29 21:17:09+00:00","aif360","pre","Data transformation","optimpreproc"
"https://github.com/IBM/lale","a27a31027d5be92def30bc970e635d96b5945f49","2020-12-29 21:17:09+00:00","aif360","in","Regularization","prejudiceremover"
"https://github.com/IBM/lale","a27a31027d5be92def30bc970e635d96b5945f49","2020-12-29 21:17:09+00:00","aif360","post","Probabilistic label change","rejectoptionclassification"
"https://github.com/IBM/lale","a27a31027d5be92def30bc970e635d96b5945f49","2020-12-29 21:17:09+00:00","aif360","pre","Resampling","reweighing"
"https://github.com/IBM/lale","d0933369fa5c1d2f9eb5a33135559bb82d75adc1","2021-12-03 22:20:35+00:00","aif360","in","Multi objective optimization","adversarialdebiasing"
"https://github.com/IBM/lale","d0933369fa5c1d2f9eb5a33135559bb82d75adc1","2021-12-03 22:20:35+00:00","aif360","post","Probabilistic label change","calibratedeqoddspostprocessing"
"https://github.com/IBM/lale","d0933369fa5c1d2f9eb5a33135559bb82d75adc1","2021-12-03 22:20:35+00:00","aif360","pre","Data transformation","disparateimpactremover"
"https://github.com/IBM/lale","d0933369fa5c1d2f9eb5a33135559bb82d75adc1","2021-12-03 22:20:35+00:00","aif360","post","Probabilistic label change","eqoddspostprocessing"
"https://github.com/IBM/lale","d0933369fa5c1d2f9eb5a33135559bb82d75adc1","2021-12-03 22:20:35+00:00","aif360","in","Fairness constraints","gerryfairclassifier"
"https://github.com/IBM/lale","d0933369fa5c1d2f9eb5a33135559bb82d75adc1","2021-12-03 22:20:35+00:00","aif360","pre","Data transformation","lfr"
"https://github.com/IBM/lale","d0933369fa5c1d2f9eb5a33135559bb82d75adc1","2021-12-03 22:20:35+00:00","aif360","in","Fairness constraints","metafairclassifier"
